Title	Description	Category
HP Ink Tank Printer - Model 121	All-in-one printer with wireless (Edition 2022)	Printer
Apple iPhone 13 - Model 389	Apple smartphone with A15 Bionic chip (Edition 2024)	Mobile
Logitech MX Master 3 - Model 380	Wireless ergonomic mouse (Edition 2024)	Accessories
Anker PowerCore 10000 - Model 274	Compact power bank (Edition 2024)	Accessories
Lenovo Legion 5 - Model 641	Gaming laptop with RTX 3060 (Edition 2024)	Laptop
Samsung Galaxy S22 - Model 346	Android phone with AMOLED display (Edition 2020)	Mobile
Canon EOS 1500D - Model 909	DSLR camera with 24.1MP sensor (Edition 2023)	Camera
HP Ink Tank Printer - Model 867	All-in-one printer with wireless (Edition 2024)	Printer
Realme Watch 2 Pro - Model 685	Smartwatch with GPS and SpO2 (Edition 2021)	Wearable
Realme Watch 2 Pro - Model 851	Smartwatch with GPS and SpO2 (Edition 2021)	Wearable
OnePlus Nord CE 3 - Model 289	Midrange phone with AMOLED display (Edition 2021)	Mobile
Canon EOS 1500D - Model 767	DSLR camera with 24.1MP sensor (Edition 2022)	Camera
MacBook Air M2 - Model 645	Apple laptop with M2 chip (Edition 2024)	Laptop
Sony WH-1000XM5 - Model 928	Noise cancelling headphones (Edition 2022)	Audio
Dell XPS 13 - Model 808	Ultrabook with Intel i7 and 16GB RAM (Edition 2020)	Laptop
HP Pavilion x360 - Model 175	2-in-1 touchscreen laptop (Edition 2023)	Laptop
Logitech MX Master 3 - Model 770	Wireless ergonomic mouse (Edition 2024)	Accessories
MacBook Air M2 - Model 302	Apple laptop with M2 chip (Edition 2024)	Laptop
Samsung Galaxy S22 - Model 525	Android phone with AMOLED display (Edition 2020)	Mobile
Sony WH-1000XM5 - Model 122	Noise cancelling headphones (Edition 2022)	Audio
MacBook Air M2 - Model 100	Apple laptop with M2 chip (Edition 2021)	Laptop
HP Ink Tank Printer - Model 452	All-in-one printer with wireless (Edition 2021)	Printer
Apple iPhone 13 - Model 270	Apple smartphone with A15 Bionic chip (Edition 2024)	Mobile
OnePlus Nord CE 3 - Model 346	Midrange phone with AMOLED display (Edition 2023)	Mobile
Samsung 25W Charger - Model 274	Fast USB-C charger (Edition 2024)	Accessories
Boat Rockerz 450 - Model 366	Bluetooth headphones with bass (Edition 2023)	Audio
JBL Flip 6 - Model 904	Portable Bluetooth speaker (Edition 2022)	Audio
Apple Watch SE - Model 300	Smartwatch with fitness tracking (Edition 2024)	Wearable
HP Pavilion x360 - Model 446	2-in-1 touchscreen laptop (Edition 2023)	Laptop
HP Pavilion x360 - Model 353	2-in-1 touchscreen laptop (Edition 2024)	Laptop
Anker PowerCore 10000 - Model 208	Compact power bank (Edition 2021)	Accessories
HP Pavilion x360 - Model 509	2-in-1 touchscreen laptop (Edition 2022)	Laptop
Dell XPS 13 - Model 636	Ultrabook with Intel i7 and 16GB RAM (Edition 2022)	Laptop
Samsung Galaxy S22 - Model 133	Android phone with AMOLED display (Edition 2024)	Mobile
Asus ROG Strix - Model 617	Gaming laptop with RGB keyboard (Edition 2022)	Laptop
Sony WH-1000XM5 - Model 318	Noise cancelling headphones (Edition 2022)	Audio
OnePlus Nord CE 3 - Model 461	Midrange phone with AMOLED display (Edition 2024)	Mobile
Boat Rockerz 450 - Model 324	Bluetooth headphones with bass (Edition 2023)	Audio
Apple Watch SE - Model 150	Smartwatch with fitness tracking (Edition 2023)	Wearable
Google Pixel 7 - Model 343	Android phone with camera AI (Edition 2020)	Mobile
OnePlus Nord CE 3 - Model 219	Midrange phone with AMOLED display (Edition 2020)	Mobile
Apple Watch SE - Model 996	Smartwatch with fitness tracking (Edition 2021)	Wearable
Samsung Galaxy S22 - Model 621	Android phone with AMOLED display (Edition 2020)	Mobile
MacBook Air M2 - Model 886	Apple laptop with M2 chip (Edition 2024)	Laptop
HP Ink Tank Printer - Model 337	All-in-one printer with wireless (Edition 2022)	Printer
Boat Rockerz 450 - Model 300	Bluetooth headphones with bass (Edition 2024)	Audio
Dell XPS 13 - Model 860	Ultrabook with Intel i7 and 16GB RAM (Edition 2021)	Laptop
Samsung Galaxy S22 - Model 338	Android phone with AMOLED display (Edition 2020)	Mobile
Canon EOS 1500D - Model 671	DSLR camera with 24.1MP sensor (Edition 2022)	Camera
Sony WH-1000XM5 - Model 799	Noise cancelling headphones (Edition 2023)	Audio
Realme Watch 2 Pro - Model 218	Smartwatch with GPS and SpO2 (Edition 2024)	Wearable
HP Pavilion x360 - Model 824	2-in-1 touchscreen laptop (Edition 2022)	Laptop
Realme Watch 2 Pro - Model 853	Smartwatch with GPS and SpO2 (Edition 2024)	Wearable
Anker PowerCore 10000 - Model 329	Compact power bank (Edition 2023)	Accessories
Anker PowerCore 10000 - Model 581	Compact power bank (Edition 2023)	Accessories
Google Pixel 7 - Model 264	Android phone with camera AI (Edition 2023)	Mobile
Sony WH-1000XM5 - Model 893	Noise cancelling headphones (Edition 2021)	Audio
Asus ROG Strix - Model 274	Gaming laptop with RGB keyboard (Edition 2022)	Laptop
HP Pavilion x360 - Model 288	2-in-1 touchscreen laptop (Edition 2023)	Laptop
Canon EOS 1500D - Model 446	DSLR camera with 24.1MP sensor (Edition 2022)	Camera
Asus ROG Strix - Model 491	Gaming laptop with RGB keyboard (Edition 2024)	Laptop
JBL Flip 6 - Model 383	Portable Bluetooth speaker (Edition 2024)	Audio
Canon EOS 1500D - Model 154	DSLR camera with 24.1MP sensor (Edition 2022)	Camera
Apple Watch SE - Model 478	Smartwatch with fitness tracking (Edition 2022)	Wearable
Samsung 25W Charger - Model 457	Fast USB-C charger (Edition 2023)	Accessories
Sony WH-1000XM5 - Model 245	Noise cancelling headphones (Edition 2020)	Audio
Logitech MX Master 3 - Model 887	Wireless ergonomic mouse (Edition 2020)	Accessories
Samsung 25W Charger - Model 531	Fast USB-C charger (Edition 2021)	Accessories
Apple iPhone 13 - Model 746	Apple smartphone with A15 Bionic chip (Edition 2023)	Mobile
Boat Rockerz 450 - Model 178	Bluetooth headphones with bass (Edition 2023)	Audio
HP Pavilion x360 - Model 834	2-in-1 touchscreen laptop (Edition 2023)	Laptop
Boat Rockerz 450 - Model 294	Bluetooth headphones with bass (Edition 2022)	Audio
Lenovo Legion 5 - Model 163	Gaming laptop with RTX 3060 (Edition 2021)	Laptop
Samsung Galaxy S22 - Model 214	Android phone with AMOLED display (Edition 2022)	Mobile
MacBook Air M2 - Model 457	Apple laptop with M2 chip (Edition 2022)	Laptop
Google Pixel 7 - Model 950	Android phone with camera AI (Edition 2021)	Mobile
OnePlus Nord CE 3 - Model 516	Midrange phone with AMOLED display (Edition 2020)	Mobile
Realme Watch 2 Pro - Model 834	Smartwatch with GPS and SpO2 (Edition 2024)	Wearable
Asus ROG Strix - Model 739	Gaming laptop with RGB keyboard (Edition 2022)	Laptop
Realme Watch 2 Pro - Model 574	Smartwatch with GPS and SpO2 (Edition 2024)	Wearable
Apple iPhone 13 - Model 169	Apple smartphone with A15 Bionic chip (Edition 2021)	Mobile
Lenovo Legion 5 - Model 409	Gaming laptop with RTX 3060 (Edition 2024)	Laptop
MacBook Air M2 - Model 330	Apple laptop with M2 chip (Edition 2021)	Laptop
Google Pixel 7 - Model 190	Android phone with camera AI (Edition 2021)	Mobile
Samsung Galaxy S22 - Model 233	Android phone with AMOLED display (Edition 2020)	Mobile
Anker PowerCore 10000 - Model 954	Compact power bank (Edition 2022)	Accessories
MacBook Air M2 - Model 718	Apple laptop with M2 chip (Edition 2024)	Laptop
Boat Rockerz 450 - Model 450	Bluetooth headphones with bass (Edition 2024)	Audio
Google Pixel 7 - Model 354	Android phone with camera AI (Edition 2024)	Mobile
Apple iPhone 13 - Model 975	Apple smartphone with A15 Bionic chip (Edition 2022)	Mobile
Sony WH-1000XM5 - Model 919	Noise cancelling headphones (Edition 2020)	Audio
Realme Watch 2 Pro - Model 450	Smartwatch with GPS and SpO2 (Edition 2024)	Wearable
Logitech MX Master 3 - Model 825	Wireless ergonomic mouse (Edition 2021)	Accessories
Sony WH-1000XM5 - Model 679	Noise cancelling headphones (Edition 2023)	Audio
Canon EOS 1500D - Model 100	DSLR camera with 24.1MP sensor (Edition 2022)	Camera
HP Ink Tank Printer - Model 295	All-in-one printer with wireless (Edition 2021)	Printer
MacBook Air M2 - Model 729	Apple laptop with M2 chip (Edition 2023)	Laptop
Samsung Galaxy Buds 2 - Model 808	Wireless earbuds with ANC (Edition 2023)	Audio
MacBook Air M2 - Model 318	Apple laptop with M2 chip (Edition 2020)	Laptop
OnePlus Nord CE 3 - Model 370	Midrange phone with AMOLED display (Edition 2021)	Mobile
Lenovo Legion 5 - Model 518	Gaming laptop with RTX 3060 (Edition 2022)	Laptop
Samsung Galaxy S22 - Model 536	Android phone with AMOLED display (Edition 2024)	Mobile
Samsung Galaxy Buds 2 - Model 484	Wireless earbuds with ANC (Edition 2020)	Audio
Anker PowerCore 10000 - Model 161	Compact power bank (Edition 2022)	Accessories
Samsung 25W Charger - Model 622	Fast USB-C charger (Edition 2020)	Accessories
MacBook Air M2 - Model 635	Apple laptop with M2 chip (Edition 2023)	Laptop
Realme Watch 2 Pro - Model 270	Smartwatch with GPS and SpO2 (Edition 2022)	Wearable
MacBook Air M2 - Model 665	Apple laptop with M2 chip (Edition 2021)	Laptop
HP Ink Tank Printer - Model 682	All-in-one printer with wireless (Edition 2021)	Printer
HP Ink Tank Printer - Model 386	All-in-one printer with wireless (Edition 2020)	Printer
MacBook Air M2 - Model 359	Apple laptop with M2 chip (Edition 2022)	Laptop
MacBook Air M2 - Model 350	Apple laptop with M2 chip (Edition 2022)	Laptop
Canon EOS 1500D - Model 293	DSLR camera with 24.1MP sensor (Edition 2020)	Camera
Dell XPS 13 - Model 286	Ultrabook with Intel i7 and 16GB RAM (Edition 2023)	Laptop
Boat Rockerz 450 - Model 191	Bluetooth headphones with bass (Edition 2022)	Audio
Google Pixel 7 - Model 700	Android phone with camera AI (Edition 2022)	Mobile
Lenovo Legion 5 - Model 652	Gaming laptop with RTX 3060 (Edition 2023)	Laptop
HP Pavilion x360 - Model 359	2-in-1 touchscreen laptop (Edition 2024)	Laptop
Logitech MX Master 3 - Model 195	Wireless ergonomic mouse (Edition 2021)	Accessories
Samsung Galaxy S22 - Model 674	Android phone with AMOLED display (Edition 2024)	Mobile
Apple Watch SE - Model 571	Smartwatch with fitness tracking (Edition 2023)	Wearable
Asus ROG Strix - Model 305	Gaming laptop with RGB keyboard (Edition 2021)	Laptop
Apple iPhone 13 - Model 237	Apple smartphone with A15 Bionic chip (Edition 2021)	Mobile
JBL Flip 6 - Model 783	Portable Bluetooth speaker (Edition 2020)	Audio
Samsung Galaxy Buds 2 - Model 294	Wireless earbuds with ANC (Edition 2022)	Audio
HP Pavilion x360 - Model 203	2-in-1 touchscreen laptop (Edition 2024)	Laptop
Dell XPS 13 - Model 632	Ultrabook with Intel i7 and 16GB RAM (Edition 2020)	Laptop
OnePlus Nord CE 3 - Model 963	Midrange phone with AMOLED display (Edition 2020)	Mobile
Samsung Galaxy S22 - Model 799	Android phone with AMOLED display (Edition 2021)	Mobile
MacBook Air M2 - Model 119	Apple laptop with M2 chip (Edition 2020)	Laptop
JBL Flip 6 - Model 153	Portable Bluetooth speaker (Edition 2023)	Audio
Samsung Galaxy Buds 2 - Model 667	Wireless earbuds with ANC (Edition 2021)	Audio
MacBook Air M2 - Model 148	Apple laptop with M2 chip (Edition 2020)	Laptop
Lenovo Legion 5 - Model 166	Gaming laptop with RTX 3060 (Edition 2020)	Laptop
Asus ROG Strix - Model 332	Gaming laptop with RGB keyboard (Edition 2022)	Laptop
Apple iPhone 13 - Model 642	Apple smartphone with A15 Bionic chip (Edition 2020)	Mobile
Samsung 25W Charger - Model 114	Fast USB-C charger (Edition 2024)	Accessories
HP Pavilion x360 - Model 406	2-in-1 touchscreen laptop (Edition 2021)	Laptop
Logitech MX Master 3 - Model 688	Wireless ergonomic mouse (Edition 2023)	Accessories
Dell XPS 13 - Model 438	Ultrabook with Intel i7 and 16GB RAM (Edition 2021)	Laptop
Anker PowerCore 10000 - Model 358	Compact power bank (Edition 2022)	Accessories
Apple iPhone 13 - Model 779	Apple smartphone with A15 Bionic chip (Edition 2024)	Mobile
JBL Flip 6 - Model 615	Portable Bluetooth speaker (Edition 2022)	Audio
Sony WH-1000XM5 - Model 196	Noise cancelling headphones (Edition 2024)	Audio
Asus ROG Strix - Model 778	Gaming laptop with RGB keyboard (Edition 2021)	Laptop
Dell XPS 13 - Model 281	Ultrabook with Intel i7 and 16GB RAM (Edition 2024)	Laptop
Apple Watch SE - Model 819	Smartwatch with fitness tracking (Edition 2021)	Wearable
Google Pixel 7 - Model 945	Android phone with camera AI (Edition 2023)	Mobile
Apple iPhone 13 - Model 110	Apple smartphone with A15 Bionic chip (Edition 2021)	Mobile
Canon EOS 1500D - Model 152	DSLR camera with 24.1MP sensor (Edition 2021)	Camera
Dell XPS 13 - Model 184	Ultrabook with Intel i7 and 16GB RAM (Edition 2022)	Laptop
Dell XPS 13 - Model 714	Ultrabook with Intel i7 and 16GB RAM (Edition 2022)	Laptop
Anker PowerCore 10000 - Model 636	Compact power bank (Edition 2024)	Accessories
Apple iPhone 13 - Model 325	Apple smartphone with A15 Bionic chip (Edition 2023)	Mobile
HP Pavilion x360 - Model 701	2-in-1 touchscreen laptop (Edition 2021)	Laptop
Samsung Galaxy S22 - Model 261	Android phone with AMOLED display (Edition 2021)	Mobile
HP Pavilion x360 - Model 193	2-in-1 touchscreen laptop (Edition 2021)	Laptop
Sony WH-1000XM5 - Model 170	Noise cancelling headphones (Edition 2021)	Audio
OnePlus Nord CE 3 - Model 248	Midrange phone with AMOLED display (Edition 2020)	Mobile
Apple iPhone 13 - Model 184	Apple smartphone with A15 Bionic chip (Edition 2023)	Mobile
Samsung Galaxy S22 - Model 958	Android phone with AMOLED display (Edition 2021)	Mobile
JBL Flip 6 - Model 359	Portable Bluetooth speaker (Edition 2023)	Audio
Logitech MX Master 3 - Model 696	Wireless ergonomic mouse (Edition 2023)	Accessories
HP Ink Tank Printer - Model 150	All-in-one printer with wireless (Edition 2024)	Printer
Canon EOS 1500D - Model 104	DSLR camera with 24.1MP sensor (Edition 2024)	Camera
Logitech MX Master 3 - Model 693	Wireless ergonomic mouse (Edition 2023)	Accessories
Google Pixel 7 - Model 803	Android phone with camera AI (Edition 2022)	Mobile
Apple Watch SE - Model 850	Smartwatch with fitness tracking (Edition 2022)	Wearable
Asus ROG Strix - Model 269	Gaming laptop with RGB keyboard (Edition 2022)	Laptop
Sony WH-1000XM5 - Model 792	Noise cancelling headphones (Edition 2024)	Audio
Lenovo Legion 5 - Model 469	Gaming laptop with RTX 3060 (Edition 2024)	Laptop
Canon EOS 1500D - Model 260	DSLR camera with 24.1MP sensor (Edition 2022)	Camera
Canon EOS 1500D - Model 953	DSLR camera with 24.1MP sensor (Edition 2024)	Camera
Samsung Galaxy S22 - Model 949	Android phone with AMOLED display (Edition 2022)	Mobile
Asus ROG Strix - Model 831	Gaming laptop with RGB keyboard (Edition 2021)	Laptop
Samsung 25W Charger - Model 347	Fast USB-C charger (Edition 2023)	Accessories
Canon EOS 1500D - Model 131	DSLR camera with 24.1MP sensor (Edition 2021)	Camera
Canon EOS 1500D - Model 168	DSLR camera with 24.1MP sensor (Edition 2023)	Camera
HP Ink Tank Printer - Model 175	All-in-one printer with wireless (Edition 2022)	Printer
Dell XPS 13 - Model 255	Ultrabook with Intel i7 and 16GB RAM (Edition 2023)	Laptop
Apple iPhone 13 - Model 292	Apple smartphone with A15 Bionic chip (Edition 2024)	Mobile
Sony WH-1000XM5 - Model 351	Noise cancelling headphones (Edition 2020)	Audio
Apple Watch SE - Model 877	Smartwatch with fitness tracking (Edition 2020)	Wearable
Samsung Galaxy Buds 2 - Model 861	Wireless earbuds with ANC (Edition 2023)	Audio
Apple Watch SE - Model 722	Smartwatch with fitness tracking (Edition 2022)	Wearable
Anker PowerCore 10000 - Model 556	Compact power bank (Edition 2020)	Accessories
Apple Watch SE - Model 683	Smartwatch with fitness tracking (Edition 2020)	Wearable
MacBook Air M2 - Model 746	Apple laptop with M2 chip (Edition 2021)	Laptop
Google Pixel 7 - Model 495	Android phone with camera AI (Edition 2023)	Mobile
Apple Watch SE - Model 695	Smartwatch with fitness tracking (Edition 2022)	Wearable
Logitech MX Master 3 - Model 678	Wireless ergonomic mouse (Edition 2023)	Accessories
HP Pavilion x360 - Model 474	2-in-1 touchscreen laptop (Edition 2022)	Laptop
Google Pixel 7 - Model 300	Android phone with camera AI (Edition 2022)	Mobile
Samsung Galaxy Buds 2 - Model 917	Wireless earbuds with ANC (Edition 2024)	Audio
HP Pavilion x360 - Model 128	2-in-1 touchscreen laptop (Edition 2023)	Laptop
Sony WH-1000XM5 - Model 467	Noise cancelling headphones (Edition 2022)	Audio
HP Pavilion x360 - Model 621	2-in-1 touchscreen laptop (Edition 2020)	Laptop
HP Pavilion x360 - Model 954	2-in-1 touchscreen laptop (Edition 2024)	Laptop
Samsung Galaxy Buds 2 - Model 946	Wireless earbuds with ANC (Edition 2020)	Audio
Samsung Galaxy Buds 2 - Model 710	Wireless earbuds with ANC (Edition 2022)	Audio
Asus ROG Strix - Model 715	Gaming laptop with RGB keyboard (Edition 2021)	Laptop
Google Pixel 7 - Model 967	Android phone with camera AI (Edition 2024)	Mobile
Apple Watch SE - Model 461	Smartwatch with fitness tracking (Edition 2024)	Wearable
Anker PowerCore 10000 - Model 149	Compact power bank (Edition 2024)	Accessories
Asus ROG Strix - Model 510	Gaming laptop with RGB keyboard (Edition 2022)	Laptop
HP Ink Tank Printer - Model 827	All-in-one printer with wireless (Edition 2024)	Printer
Samsung Galaxy Buds 2 - Model 763	Wireless earbuds with ANC (Edition 2022)	Audio
Samsung Galaxy Buds 2 - Model 553	Wireless earbuds with ANC (Edition 2022)	Audio
HP Ink Tank Printer - Model 487	All-in-one printer with wireless (Edition 2024)	Printer
Apple Watch SE - Model 904	Smartwatch with fitness tracking (Edition 2020)	Wearable
Logitech MX Master 3 - Model 753	Wireless ergonomic mouse (Edition 2022)	Accessories
Samsung 25W Charger - Model 568	Fast USB-C charger (Edition 2024)	Accessories
Logitech MX Master 3 - Model 690	Wireless ergonomic mouse (Edition 2023)	Accessories
Canon EOS 1500D - Model 153	DSLR camera with 24.1MP sensor (Edition 2021)	Camera
MacBook Air M2 - Model 406	Apple laptop with M2 chip (Edition 2022)	Laptop
Anker PowerCore 10000 - Model 695	Compact power bank (Edition 2024)	Accessories
MacBook Air M2 - Model 812	Apple laptop with M2 chip (Edition 2024)	Laptop
OnePlus Nord CE 3 - Model 968	Midrange phone with AMOLED display (Edition 2022)	Mobile
Canon EOS 1500D - Model 189	DSLR camera with 24.1MP sensor (Edition 2023)	Camera
Samsung Galaxy S22 - Model 140	Android phone with AMOLED display (Edition 2022)	Mobile
Samsung Galaxy S22 - Model 632	Android phone with AMOLED display (Edition 2020)	Mobile
MacBook Air M2 - Model 964	Apple laptop with M2 chip (Edition 2022)	Laptop
Apple iPhone 13 - Model 297	Apple smartphone with A15 Bionic chip (Edition 2024)	Mobile
Sony WH-1000XM5 - Model 789	Noise cancelling headphones (Edition 2023)	Audio
HP Pavilion x360 - Model 396	2-in-1 touchscreen laptop (Edition 2024)	Laptop
HP Ink Tank Printer - Model 160	All-in-one printer with wireless (Edition 2021)	Printer
HP Pavilion x360 - Model 426	2-in-1 touchscreen laptop (Edition 2021)	Laptop
Boat Rockerz 450 - Model 735	Bluetooth headphones with bass (Edition 2022)	Audio
MacBook Air M2 - Model 424	Apple laptop with M2 chip (Edition 2024)	Laptop
Realme Watch 2 Pro - Model 802	Smartwatch with GPS and SpO2 (Edition 2022)	Wearable
Apple iPhone 13 - Model 757	Apple smartphone with A15 Bionic chip (Edition 2021)	Mobile
Samsung Galaxy Buds 2 - Model 369	Wireless earbuds with ANC (Edition 2020)	Audio
HP Pavilion x360 - Model 576	2-in-1 touchscreen laptop (Edition 2022)	Laptop
Samsung Galaxy S22 - Model 492	Android phone with AMOLED display (Edition 2023)	Mobile
Google Pixel 7 - Model 243	Android phone with camera AI (Edition 2022)	Mobile
HP Pavilion x360 - Model 163	2-in-1 touchscreen laptop (Edition 2023)	Laptop
MacBook Air M2 - Model 657	Apple laptop with M2 chip (Edition 2022)	Laptop
Canon EOS 1500D - Model 893	DSLR camera with 24.1MP sensor (Edition 2022)	Camera
Dell XPS 13 - Model 851	Ultrabook with Intel i7 and 16GB RAM (Edition 2020)	Laptop
Lenovo Legion 5 - Model 449	Gaming laptop with RTX 3060 (Edition 2023)	Laptop
Anker PowerCore 10000 - Model 221	Compact power bank (Edition 2021)	Accessories
Google Pixel 7 - Model 656	Android phone with camera AI (Edition 2024)	Mobile
HP Pavilion x360 - Model 455	2-in-1 touchscreen laptop (Edition 2024)	Laptop
Realme Watch 2 Pro - Model 711	Smartwatch with GPS and SpO2 (Edition 2024)	Wearable
HP Ink Tank Printer - Model 980	All-in-one printer with wireless (Edition 2022)	Printer
MacBook Air M2 - Model 852	Apple laptop with M2 chip (Edition 2022)	Laptop
HP Ink Tank Printer - Model 248	All-in-one printer with wireless (Edition 2023)	Printer
Dell XPS 13 - Model 324	Ultrabook with Intel i7 and 16GB RAM (Edition 2020)	Laptop
Samsung Galaxy S22 - Model 969	Android phone with AMOLED display (Edition 2021)	Mobile
