Title	Description	Category
Apple Watch SE - Model 943	Smartwatch with fitness tracking (Edition 2022)	Wearable
Sony WH-1000XM5 - Model 265	Noise cancelling headphones (Edition 2022)	Audio
Anker PowerCore 10000 - Model 365	Compact power bank (Edition 2021)	Accessories
Realme Watch 2 Pro - Model 260	Smartwatch with GPS and SpO2 (Edition 2024)	Wearable
Apple iPhone 13 - Model 701	Apple smartphone with A15 Bionic chip (Edition 2022)	Mobile
Boat Rockerz 450 - Model 506	Bluetooth headphones with bass (Edition 2024)	Audio
Apple Watch SE - Model 663	Smartwatch with fitness tracking (Edition 2021)	Wearable
Samsung Galaxy Buds 2 - Model 869	Wireless earbuds with ANC (Edition 2023)	Audio
Samsung Galaxy S22 - Model 447	Android phone with AMOLED display (Edition 2022)	Mobile
Logitech MX Master 3 - Model 580	Wireless ergonomic mouse (Edition 2021)	Accessories
HP Pavilion x360 - Model 697	2-in-1 touchscreen laptop (Edition 2020)	Laptop
JBL Flip 6 - Model 208	Portable Bluetooth speaker (Edition 2022)	Audio
Samsung Galaxy S22 - Model 751	Android phone with AMOLED display (Edition 2020)	Mobile
Apple iPhone 13 - Model 270	Apple smartphone with A15 Bionic chip (Edition 2023)	Mobile
Samsung Galaxy Buds 2 - Model 970	Wireless earbuds with ANC (Edition 2021)	Audio
MacBook Air M2 - Model 500	Apple laptop with M2 chip (Edition 2021)	Laptop
Google Pixel 7 - Model 648	Android phone with camera AI (Edition 2022)	Mobile
JBL Flip 6 - Model 117	Portable Bluetooth speaker (Edition 2021)	Audio
Logitech MX Master 3 - Model 754	Wireless ergonomic mouse (Edition 2024)	Accessories
Asus ROG Strix - Model 594	Gaming laptop with RGB keyboard (Edition 2024)	Laptop
HP Ink Tank Printer - Model 393	All-in-one printer with wireless (Edition 2021)	Printer
OnePlus Nord CE 3 - Model 688	Midrange phone with AMOLED display (Edition 2022)	Mobile
Logitech MX Master 3 - Model 983	Wireless ergonomic mouse (Edition 2021)	Accessories
HP Pavilion x360 - Model 535	2-in-1 touchscreen laptop (Edition 2021)	Laptop
Google Pixel 7 - Model 979	Android phone with camera AI (Edition 2020)	Mobile
Canon EOS 1500D - Model 327	DSLR camera with 24.1MP sensor (Edition 2023)	Camera
Dell XPS 13 - Model 774	Ultrabook with Intel i7 and 16GB RAM (Edition 2020)	Laptop
Samsung Galaxy S22 - Model 748	Android phone with AMOLED display (Edition 2022)	Mobile
Asus ROG Strix - Model 904	Gaming laptop with RGB keyboard (Edition 2024)	Laptop
Google Pixel 7 - Model 186	Android phone with camera AI (Edition 2022)	Mobile
Samsung Galaxy Buds 2 - Model 934	Wireless earbuds with ANC (Edition 2023)	Audio
HP Pavilion x360 - Model 239	2-in-1 touchscreen laptop (Edition 2020)	Laptop
HP Pavilion x360 - Model 568	2-in-1 touchscreen laptop (Edition 2024)	Laptop
Canon EOS 1500D - Model 992	DSLR camera with 24.1MP sensor (Edition 2023)	Camera
HP Pavilion x360 - Model 410	2-in-1 touchscreen laptop (Edition 2020)	Laptop
Dell XPS 13 - Model 371	Ultrabook with Intel i7 and 16GB RAM (Edition 2021)	Laptop
JBL Flip 6 - Model 783	Portable Bluetooth speaker (Edition 2021)	Audio
Canon EOS 1500D - Model 907	DSLR camera with 24.1MP sensor (Edition 2020)	Camera
Apple iPhone 13 - Model 604	Apple smartphone with A15 Bionic chip (Edition 2020)	Mobile
Logitech MX Master 3 - Model 370	Wireless ergonomic mouse (Edition 2024)	Accessories
OnePlus Nord CE 3 - Model 862	Midrange phone with AMOLED display (Edition 2024)	Mobile
Lenovo Legion 5 - Model 455	Gaming laptop with RTX 3060 (Edition 2022)	Laptop
Realme Watch 2 Pro - Model 497	Smartwatch with GPS and SpO2 (Edition 2020)	Wearable
MacBook Air M2 - Model 997	Apple laptop with M2 chip (Edition 2021)	Laptop
Lenovo Legion 5 - Model 929	Gaming laptop with RTX 3060 (Edition 2022)	Laptop
JBL Flip 6 - Model 839	Portable Bluetooth speaker (Edition 2024)	Audio
Samsung 25W Charger - Model 127	Fast USB-C charger (Edition 2022)	Accessories
Lenovo Legion 5 - Model 613	Gaming laptop with RTX 3060 (Edition 2021)	Laptop
Logitech MX Master 3 - Model 136	Wireless ergonomic mouse (Edition 2021)	Accessories
Apple Watch SE - Model 125	Smartwatch with fitness tracking (Edition 2024)	Wearable
Asus ROG Strix - Model 129	Gaming laptop with RGB keyboard (Edition 2021)	Laptop
MacBook Air M2 - Model 561	Apple laptop with M2 chip (Edition 2024)	Laptop
Boat Rockerz 450 - Model 431	Bluetooth headphones with bass (Edition 2021)	Audio
Lenovo Legion 5 - Model 202	Gaming laptop with RTX 3060 (Edition 2020)	Laptop
Apple iPhone 13 - Model 711	Apple smartphone with A15 Bionic chip (Edition 2020)	Mobile
Anker PowerCore 10000 - Model 848	Compact power bank (Edition 2024)	Accessories
MacBook Air M2 - Model 741	Apple laptop with M2 chip (Edition 2022)	Laptop
Apple iPhone 13 - Model 132	Apple smartphone with A15 Bionic chip (Edition 2023)	Mobile
Apple iPhone 13 - Model 979	Apple smartphone with A15 Bionic chip (Edition 2023)	Mobile
Canon EOS 1500D - Model 370	DSLR camera with 24.1MP sensor (Edition 2023)	Camera
Sony WH-1000XM5 - Model 310	Noise cancelling headphones (Edition 2022)	Audio
Samsung Galaxy Buds 2 - Model 205	Wireless earbuds with ANC (Edition 2020)	Audio
OnePlus Nord CE 3 - Model 292	Midrange phone with AMOLED display (Edition 2021)	Mobile
Asus ROG Strix - Model 894	Gaming laptop with RGB keyboard (Edition 2020)	Laptop
Dell XPS 13 - Model 974	Ultrabook with Intel i7 and 16GB RAM (Edition 2022)	Laptop
Lenovo Legion 5 - Model 818	Gaming laptop with RTX 3060 (Edition 2023)	Laptop
Apple iPhone 13 - Model 980	Apple smartphone with A15 Bionic chip (Edition 2022)	Mobile
Samsung 25W Charger - Model 586	Fast USB-C charger (Edition 2022)	Accessories
Apple Watch SE - Model 659	Smartwatch with fitness tracking (Edition 2020)	Wearable
Apple iPhone 13 - Model 762	Apple smartphone with A15 Bionic chip (Edition 2021)	Mobile
Apple iPhone 13 - Model 318	Apple smartphone with A15 Bionic chip (Edition 2020)	Mobile
Google Pixel 7 - Model 457	Android phone with camera AI (Edition 2020)	Mobile
Samsung 25W Charger - Model 342	Fast USB-C charger (Edition 2024)	Accessories
OnePlus Nord CE 3 - Model 292	Midrange phone with AMOLED display (Edition 2020)	Mobile
Apple iPhone 13 - Model 648	Apple smartphone with A15 Bionic chip (Edition 2023)	Mobile
OnePlus Nord CE 3 - Model 221	Midrange phone with AMOLED display (Edition 2021)	Mobile
Canon EOS 1500D - Model 700	DSLR camera with 24.1MP sensor (Edition 2022)	Camera
Sony WH-1000XM5 - Model 721	Noise cancelling headphones (Edition 2022)	Audio
HP Pavilion x360 - Model 328	2-in-1 touchscreen laptop (Edition 2023)	Laptop
JBL Flip 6 - Model 801	Portable Bluetooth speaker (Edition 2020)	Audio
Samsung 25W Charger - Model 185	Fast USB-C charger (Edition 2023)	Accessories
Canon EOS 1500D - Model 869	DSLR camera with 24.1MP sensor (Edition 2020)	Camera
Anker PowerCore 10000 - Model 423	Compact power bank (Edition 2021)	Accessories
OnePlus Nord CE 3 - Model 262	Midrange phone with AMOLED display (Edition 2022)	Mobile
OnePlus Nord CE 3 - Model 994	Midrange phone with AMOLED display (Edition 2021)	Mobile
HP Pavilion x360 - Model 331	2-in-1 touchscreen laptop (Edition 2020)	Laptop
Boat Rockerz 450 - Model 277	Bluetooth headphones with bass (Edition 2022)	Audio
Asus ROG Strix - Model 763	Gaming laptop with RGB keyboard (Edition 2022)	Laptop
Samsung Galaxy S22 - Model 358	Android phone with AMOLED display (Edition 2021)	Mobile
Google Pixel 7 - Model 869	Android phone with camera AI (Edition 2022)	Mobile
Google Pixel 7 - Model 112	Android phone with camera AI (Edition 2023)	Mobile
Apple Watch SE - Model 290	Smartwatch with fitness tracking (Edition 2022)	Wearable
Apple iPhone 13 - Model 918	Apple smartphone with A15 Bionic chip (Edition 2022)	Mobile
Canon EOS 1500D - Model 820	DSLR camera with 24.1MP sensor (Edition 2024)	Camera
Asus ROG Strix - Model 314	Gaming laptop with RGB keyboard (Edition 2021)	Laptop
Boat Rockerz 450 - Model 822	Bluetooth headphones with bass (Edition 2020)	Audio
Dell XPS 13 - Model 282	Ultrabook with Intel i7 and 16GB RAM (Edition 2020)	Laptop
Asus ROG Strix - Model 975	Gaming laptop with RGB keyboard (Edition 2024)	Laptop
HP Pavilion x360 - Model 749	2-in-1 touchscreen laptop (Edition 2024)	Laptop
MacBook Air M2 - Model 299	Apple laptop with M2 chip (Edition 2023)	Laptop
Realme Watch 2 Pro - Model 186	Smartwatch with GPS and SpO2 (Edition 2023)	Wearable
Realme Watch 2 Pro - Model 446	Smartwatch with GPS and SpO2 (Edition 2022)	Wearable
Boat Rockerz 450 - Model 334	Bluetooth headphones with bass (Edition 2021)	Audio
Samsung 25W Charger - Model 854	Fast USB-C charger (Edition 2020)	Accessories
Dell XPS 13 - Model 566	Ultrabook with Intel i7 and 16GB RAM (Edition 2022)	Laptop
Canon EOS 1500D - Model 946	DSLR camera with 24.1MP sensor (Edition 2022)	Camera
HP Pavilion x360 - Model 451	2-in-1 touchscreen laptop (Edition 2020)	Laptop
Boat Rockerz 450 - Model 556	Bluetooth headphones with bass (Edition 2024)	Audio
HP Ink Tank Printer - Model 285	All-in-one printer with wireless (Edition 2021)	Printer
Google Pixel 7 - Model 829	Android phone with camera AI (Edition 2023)	Mobile
Google Pixel 7 - Model 477	Android phone with camera AI (Edition 2020)	Mobile
Logitech MX Master 3 - Model 158	Wireless ergonomic mouse (Edition 2023)	Accessories
Logitech MX Master 3 - Model 879	Wireless ergonomic mouse (Edition 2023)	Accessories
Apple iPhone 13 - Model 363	Apple smartphone with A15 Bionic chip (Edition 2022)	Mobile
Logitech MX Master 3 - Model 839	Wireless ergonomic mouse (Edition 2020)	Accessories
Sony WH-1000XM5 - Model 450	Noise cancelling headphones (Edition 2023)	Audio
Sony WH-1000XM5 - Model 772	Noise cancelling headphones (Edition 2024)	Audio
Sony WH-1000XM5 - Model 208	Noise cancelling headphones (Edition 2024)	Audio
OnePlus Nord CE 3 - Model 431	Midrange phone with AMOLED display (Edition 2021)	Mobile
Canon EOS 1500D - Model 357	DSLR camera with 24.1MP sensor (Edition 2021)	Camera
Apple iPhone 13 - Model 190	Apple smartphone with A15 Bionic chip (Edition 2024)	Mobile
Anker PowerCore 10000 - Model 489	Compact power bank (Edition 2024)	Accessories
Samsung Galaxy Buds 2 - Model 245	Wireless earbuds with ANC (Edition 2020)	Audio
HP Ink Tank Printer - Model 307	All-in-one printer with wireless (Edition 2024)	Printer
Apple iPhone 13 - Model 959	Apple smartphone with A15 Bionic chip (Edition 2023)	Mobile
Apple Watch SE - Model 855	Smartwatch with fitness tracking (Edition 2021)	Wearable
Lenovo Legion 5 - Model 736	Gaming laptop with RTX 3060 (Edition 2022)	Laptop
Logitech MX Master 3 - Model 918	Wireless ergonomic mouse (Edition 2024)	Accessories
Samsung Galaxy Buds 2 - Model 269	Wireless earbuds with ANC (Edition 2023)	Audio
Samsung 25W Charger - Model 703	Fast USB-C charger (Edition 2021)	Accessories
Apple Watch SE - Model 562	Smartwatch with fitness tracking (Edition 2022)	Wearable
HP Ink Tank Printer - Model 676	All-in-one printer with wireless (Edition 2023)	Printer
Google Pixel 7 - Model 565	Android phone with camera AI (Edition 2023)	Mobile
Apple Watch SE - Model 692	Smartwatch with fitness tracking (Edition 2022)	Wearable
Sony WH-1000XM5 - Model 719	Noise cancelling headphones (Edition 2023)	Audio
Logitech MX Master 3 - Model 764	Wireless ergonomic mouse (Edition 2022)	Accessories
HP Ink Tank Printer - Model 356	All-in-one printer with wireless (Edition 2022)	Printer
Apple iPhone 13 - Model 635	Apple smartphone with A15 Bionic chip (Edition 2021)	Mobile
Sony WH-1000XM5 - Model 762	Noise cancelling headphones (Edition 2024)	Audio
Apple Watch SE - Model 755	Smartwatch with fitness tracking (Edition 2020)	Wearable
HP Ink Tank Printer - Model 540	All-in-one printer with wireless (Edition 2021)	Printer
Boat Rockerz 450 - Model 108	Bluetooth headphones with bass (Edition 2024)	Audio
Canon EOS 1500D - Model 221	DSLR camera with 24.1MP sensor (Edition 2021)	Camera
Google Pixel 7 - Model 703	Android phone with camera AI (Edition 2020)	Mobile
Realme Watch 2 Pro - Model 562	Smartwatch with GPS and SpO2 (Edition 2024)	Wearable
Samsung Galaxy Buds 2 - Model 935	Wireless earbuds with ANC (Edition 2021)	Audio
Logitech MX Master 3 - Model 418	Wireless ergonomic mouse (Edition 2020)	Accessories
HP Ink Tank Printer - Model 570	All-in-one printer with wireless (Edition 2021)	Printer
HP Ink Tank Printer - Model 824	All-in-one printer with wireless (Edition 2021)	Printer
Canon EOS 1500D - Model 759	DSLR camera with 24.1MP sensor (Edition 2022)	Camera
JBL Flip 6 - Model 686	Portable Bluetooth speaker (Edition 2021)	Audio
Logitech MX Master 3 - Model 631	Wireless ergonomic mouse (Edition 2021)	Accessories
Apple iPhone 13 - Model 144	Apple smartphone with A15 Bionic chip (Edition 2020)	Mobile
Apple Watch SE - Model 783	Smartwatch with fitness tracking (Edition 2023)	Wearable
JBL Flip 6 - Model 181	Portable Bluetooth speaker (Edition 2021)	Audio
Logitech MX Master 3 - Model 170	Wireless ergonomic mouse (Edition 2023)	Accessories
Samsung 25W Charger - Model 292	Fast USB-C charger (Edition 2020)	Accessories
HP Pavilion x360 - Model 957	2-in-1 touchscreen laptop (Edition 2023)	Laptop
Canon EOS 1500D - Model 886	DSLR camera with 24.1MP sensor (Edition 2020)	Camera
Anker PowerCore 10000 - Model 181	Compact power bank (Edition 2022)	Accessories
JBL Flip 6 - Model 651	Portable Bluetooth speaker (Edition 2024)	Audio
Asus ROG Strix - Model 225	Gaming laptop with RGB keyboard (Edition 2024)	Laptop
Samsung Galaxy Buds 2 - Model 348	Wireless earbuds with ANC (Edition 2023)	Audio
Sony WH-1000XM5 - Model 382	Noise cancelling headphones (Edition 2022)	Audio
MacBook Air M2 - Model 684	Apple laptop with M2 chip (Edition 2023)	Laptop
Samsung Galaxy Buds 2 - Model 787	Wireless earbuds with ANC (Edition 2022)	Audio
Google Pixel 7 - Model 775	Android phone with camera AI (Edition 2022)	Mobile
HP Ink Tank Printer - Model 889	All-in-one printer with wireless (Edition 2023)	Printer
JBL Flip 6 - Model 707	Portable Bluetooth speaker (Edition 2022)	Audio
Dell XPS 13 - Model 851	Ultrabook with Intel i7 and 16GB RAM (Edition 2022)	Laptop
Anker PowerCore 10000 - Model 374	Compact power bank (Edition 2020)	Accessories
Samsung 25W Charger - Model 267	Fast USB-C charger (Edition 2022)	Accessories
Boat Rockerz 450 - Model 293	Bluetooth headphones with bass (Edition 2020)	Audio
Realme Watch 2 Pro - Model 386	Smartwatch with GPS and SpO2 (Edition 2024)	Wearable
Lenovo Legion 5 - Model 526	Gaming laptop with RTX 3060 (Edition 2021)	Laptop
Dell XPS 13 - Model 751	Ultrabook with Intel i7 and 16GB RAM (Edition 2024)	Laptop
Anker PowerCore 10000 - Model 170	Compact power bank (Edition 2024)	Accessories
Google Pixel 7 - Model 578	Android phone with camera AI (Edition 2020)	Mobile
Lenovo Legion 5 - Model 403	Gaming laptop with RTX 3060 (Edition 2020)	Laptop
Canon EOS 1500D - Model 836	DSLR camera with 24.1MP sensor (Edition 2024)	Camera
Canon EOS 1500D - Model 120	DSLR camera with 24.1MP sensor (Edition 2022)	Camera
Apple Watch SE - Model 854	Smartwatch with fitness tracking (Edition 2023)	Wearable
Google Pixel 7 - Model 792	Android phone with camera AI (Edition 2024)	Mobile
Sony WH-1000XM5 - Model 867	Noise cancelling headphones (Edition 2021)	Audio
Logitech MX Master 3 - Model 899	Wireless ergonomic mouse (Edition 2023)	Accessories
Samsung Galaxy Buds 2 - Model 222	Wireless earbuds with ANC (Edition 2022)	Audio
Asus ROG Strix - Model 772	Gaming laptop with RGB keyboard (Edition 2024)	Laptop
Dell XPS 13 - Model 977	Ultrabook with Intel i7 and 16GB RAM (Edition 2021)	Laptop
Apple Watch SE - Model 348	Smartwatch with fitness tracking (Edition 2021)	Wearable
Dell XPS 13 - Model 506	Ultrabook with Intel i7 and 16GB RAM (Edition 2021)	Laptop
Boat Rockerz 450 - Model 429	Bluetooth headphones with bass (Edition 2022)	Audio
Samsung Galaxy Buds 2 - Model 312	Wireless earbuds with ANC (Edition 2024)	Audio
OnePlus Nord CE 3 - Model 597	Midrange phone with AMOLED display (Edition 2020)	Mobile
Samsung Galaxy Buds 2 - Model 245	Wireless earbuds with ANC (Edition 2022)	Audio
Apple iPhone 13 - Model 378	Apple smartphone with A15 Bionic chip (Edition 2021)	Mobile
HP Pavilion x360 - Model 948	2-in-1 touchscreen laptop (Edition 2024)	Laptop
Samsung Galaxy Buds 2 - Model 369	Wireless earbuds with ANC (Edition 2023)	Audio
MacBook Air M2 - Model 747	Apple laptop with M2 chip (Edition 2023)	Laptop
OnePlus Nord CE 3 - Model 947	Midrange phone with AMOLED display (Edition 2023)	Mobile
Apple Watch SE - Model 887	Smartwatch with fitness tracking (Edition 2022)	Wearable
Sony WH-1000XM5 - Model 153	Noise cancelling headphones (Edition 2022)	Audio
Boat Rockerz 450 - Model 642	Bluetooth headphones with bass (Edition 2022)	Audio
Google Pixel 7 - Model 235	Android phone with camera AI (Edition 2023)	Mobile
Sony WH-1000XM5 - Model 447	Noise cancelling headphones (Edition 2023)	Audio
JBL Flip 6 - Model 478	Portable Bluetooth speaker (Edition 2024)	Audio
HP Pavilion x360 - Model 314	2-in-1 touchscreen laptop (Edition 2022)	Laptop
Samsung Galaxy S22 - Model 957	Android phone with AMOLED display (Edition 2021)	Mobile
Lenovo Legion 5 - Model 496	Gaming laptop with RTX 3060 (Edition 2020)	Laptop
Samsung 25W Charger - Model 303	Fast USB-C charger (Edition 2022)	Accessories
Asus ROG Strix - Model 509	Gaming laptop with RGB keyboard (Edition 2023)	Laptop
Sony WH-1000XM5 - Model 423	Noise cancelling headphones (Edition 2022)	Audio
Anker PowerCore 10000 - Model 963	Compact power bank (Edition 2021)	Accessories
Google Pixel 7 - Model 178	Android phone with camera AI (Edition 2020)	Mobile
MacBook Air M2 - Model 313	Apple laptop with M2 chip (Edition 2024)	Laptop
Boat Rockerz 450 - Model 590	Bluetooth headphones with bass (Edition 2024)	Audio
Samsung Galaxy S22 - Model 896	Android phone with AMOLED display (Edition 2022)	Mobile
Apple Watch SE - Model 772	Smartwatch with fitness tracking (Edition 2022)	Wearable
Anker PowerCore 10000 - Model 215	Compact power bank (Edition 2021)	Accessories
Samsung 25W Charger - Model 761	Fast USB-C charger (Edition 2022)	Accessories
Asus ROG Strix - Model 838	Gaming laptop with RGB keyboard (Edition 2023)	Laptop
Dell XPS 13 - Model 975	Ultrabook with Intel i7 and 16GB RAM (Edition 2022)	Laptop
Samsung Galaxy Buds 2 - Model 387	Wireless earbuds with ANC (Edition 2024)	Audio
HP Pavilion x360 - Model 801	2-in-1 touchscreen laptop (Edition 2021)	Laptop
Samsung Galaxy S22 - Model 311	Android phone with AMOLED display (Edition 2021)	Mobile
Apple iPhone 13 - Model 512	Apple smartphone with A15 Bionic chip (Edition 2022)	Mobile
Dell XPS 13 - Model 204	Ultrabook with Intel i7 and 16GB RAM (Edition 2023)	Laptop
Asus ROG Strix - Model 476	Gaming laptop with RGB keyboard (Edition 2023)	Laptop
Apple Watch SE - Model 803	Smartwatch with fitness tracking (Edition 2021)	Wearable
HP Pavilion x360 - Model 991	2-in-1 touchscreen laptop (Edition 2024)	Laptop
Apple iPhone 13 - Model 323	Apple smartphone with A15 Bionic chip (Edition 2022)	Mobile
Sony WH-1000XM5 - Model 302	Noise cancelling headphones (Edition 2023)	Audio
Sony WH-1000XM5 - Model 363	Noise cancelling headphones (Edition 2022)	Audio
HP Ink Tank Printer - Model 754	All-in-one printer with wireless (Edition 2024)	Printer
Samsung Galaxy Buds 2 - Model 997	Wireless earbuds with ANC (Edition 2023)	Audio
Logitech MX Master 3 - Model 513	Wireless ergonomic mouse (Edition 2023)	Accessories
Google Pixel 7 - Model 901	Android phone with camera AI (Edition 2024)	Mobile
OnePlus Nord CE 3 - Model 194	Midrange phone with AMOLED display (Edition 2022)	Mobile
JBL Flip 6 - Model 871	Portable Bluetooth speaker (Edition 2024)	Audio
HP Pavilion x360 - Model 593	2-in-1 touchscreen laptop (Edition 2023)	Laptop
Apple iPhone 13 - Model 558	Apple smartphone with A15 Bionic chip (Edition 2024)	Mobile
Asus ROG Strix - Model 364	Gaming laptop with RGB keyboard (Edition 2024)	Laptop
Realme Watch 2 Pro - Model 527	Smartwatch with GPS and SpO2 (Edition 2020)	Wearable
Boat Rockerz 450 - Model 653	Bluetooth headphones with bass (Edition 2023)	Audio
Canon EOS 1500D - Model 845	DSLR camera with 24.1MP sensor (Edition 2022)	Camera
Google Pixel 7 - Model 586	Android phone with camera AI (Edition 2024)	Mobile
JBL Flip 6 - Model 214	Portable Bluetooth speaker (Edition 2021)	Audio
Samsung 25W Charger - Model 413	Fast USB-C charger (Edition 2024)	Accessories
Dell XPS 13 - Model 540	Ultrabook with Intel i7 and 16GB RAM (Edition 2023)	Laptop
Apple Watch SE - Model 563	Smartwatch with fitness tracking (Edition 2023)	Wearable
Boat Rockerz 450 - Model 695	Bluetooth headphones with bass (Edition 2020)	Audio
HP Pavilion x360 - Model 814	2-in-1 touchscreen laptop (Edition 2021)	Laptop
